MacAdress,ProcessDate,Temperature,Longitude,Latitude,accuracy,UserId,Id
00:11:22:33:44:55,2020-04-30 23:12:04.007,38.0,41.0,29.0,0.0,22,70
00:1B:10:18:50:2F,2020-04-30 23:35:03.167,36.0,28.7617385,41.0472898,13.719,24,74
11:22:33:44:55,2020-04-30 23:36:41.303,39.0,41.0,29.0,0.0,22,78
11:22:33:44:55,2020-04-30 23:36:41.303,38.0,41.0,29.0,0.0,22,79
11:22:33:44:55,2020-04-30 23:36:41.303,37.55,41.0,29.0,0.0,22,80
00:1B:10:18:50:2F,2020-04-30 23:47:19.480,36.0,28.7617816,41.0472966,14.277,26,82
00:1B:10:18:50:2F,2020-04-30 23:57:19.303,35.0,28.7617845,41.0473076,14.234,26,84
00:1B:10:18:50:2F,2020-05-01 00:07:19.343,36.0,28.7617695,41.0472901,14.593,26,86
00:1B:10:18:1D:0C,2020-05-01 00:11:09.203,35.0,28.7615809,41.047295,127.568,24,87
00:1B:10:18:50:2F,2020-05-01 00:17:19.423,35.0,28.7617939,41.0472932,12.827,26,88
00:1B:10:18:50:2F,2020-05-01 01:07:19.383,36.0,28.7617891,41.0472995,16.912,26,91
00:1B:10:18:50:2F,2020-05-01 01:17:19.840,36.0,28.7604293,41.0453221,899.999,26,92
00:1B:10:18:50:2F,2020-05-01 01:27:19.270,36.0,28.7617903,41.047298,16.383,26,93
00:1B:10:18:50:2F,2020-05-01 01:45:19.363,36.0,28.7617918,41.0472985,15.124,26,94
00:1B:10:18:50:2F,2020-05-01 01:55:19.390,36.0,28.7619154,41.0475298,200.0,26,96
00:1B:10:18:50:2F,2020-05-01 02:05:19.433,36.0,28.7617944,41.0472969,17.139,26,98
00:1B:10:18:50:2F,2020-05-01 02:15:19.450,36.0,28.7662586,41.0350403,1399.999,26,100
00:1B:10:18:50:2F,2020-05-01 02:25:19.293,36.0,28.7618043,41.0473237,778.092,26,102
00:1B:10:18:50:2F,2020-05-01 02:35:19.320,36.0,28.7617977,41.0473127,1163.07,26,104
00:1B:10:18:50:2F,2020-05-01 02:45:19.353,36.0,28.7617908,41.0473084,1183.214,26,106
00:1B:10:18:50:2F,2020-05-01 02:55:19.380,36.0,28.7617952,41.0472943,779.015,26,108
00:1B:10:18:50:2F,2020-05-01 03:05:19.410,36.0,28.7617952,41.047305,774.068,26,110
00:1B:10:18:50:2F,2020-05-01 03:15:19.240,36.0,28.7617945,41.0472941,19.266,26,112
00:1B:10:18:50:2F,2020-05-01 03:25:19.273,36.0,28.7606451,41.0474539,200.0,26,114
00:1B:10:18:50:2F,2020-05-01 03:35:19.300,36.0,28.763809,41.0465653,475.187,26,116
00:1B:10:18:50:2F,2020-05-01 03:45:19.327,36.0,28.7625632,41.0460765,192.0,26,118
00:1B:10:18:50:2F,2020-05-01 03:55:19.157,36.0,28.7613995,41.0475744,102.4,26,120
00:1B:10:18:50:2F,2020-05-01 04:05:19.187,36.0,28.7619468,41.0481814,466.665,26,122
00:1B:10:18:50:2F,2020-05-01 04:15:19.397,36.0,28.7630148,41.0479004,412.126,26,124
00:1B:10:18:50:2F,2020-05-01 04:25:19.227,36.0,28.7614601,41.0477172,269.266,26,126
00:1B:10:18:50:2F,2020-05-01 04:35:19.067,36.0,28.7613197,41.0474707,300.0,26,128
00:1B:10:18:50:2F,2020-05-01 04:45:19.080,36.0,28.7608923,41.0450904,579.75,26,130
00:1B:10:18:50:2F,2020-05-01 04:55:19.123,36.0,28.7617971,41.0473051,13.74,26,132
00:1B:10:18:50:2F,2020-05-01 05:05:19.137,36.0,28.7613873,41.0475695,515.136,26,134
00:1B:10:18:50:2F,2020-05-01 05:15:18.980,36.0,28.7617921,41.0472967,774.364,26,136
00:1B:10:18:50:2F,2020-05-01 05:25:19.800,36.0,28.761799,41.0472951,14.961,26,138
00:1B:10:18:50:2F,2020-05-01 05:35:19.037,35.0,28.761919,41.0454338,569.081,26,140
00:1B:10:18:50:2F,2020-05-01 05:45:19.063,36.0,28.7617968,41.04732,421.792,26,142
00:1B:10:18:50:2F,2020-05-01 05:55:18.890,36.0,28.7617958,41.0473051,13.69,26,144
00:1B:10:18:50:2F,2020-05-01 06:05:18.917,36.0,28.7614482,41.0476666,204.771,26,146
00:1B:10:18:50:2F,2020-05-01 06:15:18.943,36.0,28.7604293,41.0453221,899.999,26,148
00:1B:10:18:50:2F,2020-05-01 06:25:18.970,36.0,28.7634739,41.0463878,400.0,26,150
00:1B:10:18:50:2F,2020-05-01 06:35:18.997,36.0,28.7617973,41.047309,13.268,26,152
00:1B:10:18:50:2F,2020-05-01 06:45:18.827,36.0,28.7618099,41.0473054,15.936,26,154
00:1B:10:18:50:2F,2020-05-01 06:55:18.857,36.0,28.7592867,41.0479862,1058.338,26,156
00:1B:10:18:50:2F,2020-05-01 07:05:18.880,36.0,28.7618037,41.0473159,1166.068,26,158
