MacAdress,ProcessDate,Temperature,Longitude,Latitude,accuracy,UserId,Id,TimeStamp
00:1B:10:18:1D:0C,2020-05-01 19:10:00,35.0,28.7617931,41.0473,13.674,24,8836,1588360200000000000
00:1B:10:18:43:B5,2020-05-02 09:30:00,36.0,29.033728,41.1037359,14.24,29,11715,1588411800000000000
00:1B:10:18:4F:CB,2020-05-03 07:00:00,36.560001373291016,28.7683506,41.0428278,18.005,37,13309,1588489200000000000
string,2020-05-03 15:50:00,37.0,25.0,15.0,10.0,8,8623,1588521000000000000
00:1B:10:18:41:1B,2020-05-04 04:40:00,35.650001525878906,28.8426683,41.0586975,21.189,51,9551,1588567200000000000
00:1B:10:18:47:14,2020-05-04 05:40:00,36.369998931884766,28.8420331,41.0585673,15.739,60,10476,1588570800000000000
00:1B:10:18:41:B8,2020-05-04 07:10:00,35.5099983215332,28.8043447,41.0567159,21.344,58,9271,1588576200000000000
00:1B:10:18:45:49,2020-05-04 08:50:00,36.439998626708984,28.8220629,41.0538816,17.392,68,8748,1588582200000000000
00:1B:10:18:3A:37,2020-05-04 09:30:00,36.459999084472656,28.9280428,40.9996898,13.761,56,8849,1588584600000000000
00:1B:10:18:1A:AE,2020-05-04 10:00:00,24.56999969482422,28.9000355,41.0258662,14.751,8,11599,1588586400000000000
00:1B:10:18:2E:3C,2020-05-04 10:20:00,36.45000076293945,28.8466474,41.0400049,9.648,59,8659,1588587600000000000
00:1B:10:18:48:89,2020-05-04 10:50:00,36.349998474121094,28.6548955,40.978811,17.803,57,8739,1588589400000000000
00:1B:10:18:3C:CC,2020-05-04 10:50:00,36.47999954223633,28.6628418,41.0289603,14.875,54,8645,1588589400000000000
00:1B:10:18:32:9A,2020-05-04 10:50:00,35.630001068115234,28.8421257,41.0584132,12.329,63,19266,1588589400000000000
00:1B:10:18:1D:0C,2020-05-04 10:50:00,36.41999816894531,28.7617872,41.0472891,14.594,24,8632,1588589400000000000
00:1B:10:18:1D:0C,2020-05-04 11:00:00,36.40999984741211,28.7617956,41.0472928,14.108,24,8656,1588590000000000000
00:1B:10:18:3C:CC,2020-05-04 11:00:00,36.459999084472656,28.6628661,41.0289648,15.48,54,8668,1588590000000000000
